Police_Region,LGA_crime,2012,2013,2014,2015,2016,2017,2018,2019,2020
4 Western, Campaspe,1.8172043010752688,-0.7732558139534884,1.84,0.02197802197802198,2.9096385542168677,-155.0,-48.0,3.08,-6.966666666666667
4 Western, Southern Grampians,0.5363636363636364,-0.7830188679245284,1.77,-1.0,-4.82051282051282,-inf,11.545454545454545,4.611111111111111,-3.111111111111111
4 Western, Hindmarsh,27.0,3.0,4.625,-0.4166666666666667,-3.0416666666666665,-0.6515151515151515,0.3108108108108108,0.4482758620689655,14.0
4 Western, Swan Hill,0.4528301886792453,1.75,-3.0476190476190474,0.2978723404255319,40.0,-0.7755102040816326,-0.09195402298850575,-0.8272727272727273,0.45689655172413796
4 Western, Buloke,-0.4838709677419355,1.065217391304348,0.1320754716981132,0.06896551724137931,0.4090909090909091,0.13924050632911392,-1.0909090909090908,-1.0,-1.9090909090909092
4 Western, Warrnambool,0.0,0.22802197802197802,0.24836601307189543,0.6195652173913043,1.4135021097046414,0.4831804281345566,0.8741496598639455,-0.9528301886792453,-0.7982954545454546
4 Western, West Wimmera,-0.4520547945205479,0.13333333333333333,0.2558139534883721,-0.0625,-0.13513513513513514,-0.4186046511627907,-0.0625,-0.08695652173913043,-0.06896551724137931
4 Western, Ballarat,0.0,-0.04393564356435643,-0.3662420382165605,0.7648562300319489,0.3686293913904008,-0.26899063475546303,-0.47528916929547843,0.4022935779816514,-0.8336025848142165
4 Western, Ararat,1.7837837837837838,-0.6666666666666666,-1.1,1.3452380952380953,-0.42574257425742573,4.090909090909091,-0.3076923076923077,-0.9591836734693877,2.074380165289256
4 Western, Surf Coast,0.2037037037037037,-0.27507163323782235,-0.0015479876160990713,0.237017310252996,-0.07976190476190476,-0.10997732426303855,-0.13038674033149172,0.1037344398340249,0.14992389649923896
4 Western, Queenscliffe,-4.75,0.6909090909090909,-0.90625,-1.4054054054054055,7.5,0.06666666666666667,-1.0869565217391304,-0.09302325581395349,-0.07246376811594203
4 Western, Central Goldfields,0.6962962962962963,0.39603960396039606,-0.08695652173913043,0.6212121212121212,1.218978102189781,-2.5245901639344264,1.85,3.0,0.9222222222222223
4 Western, Northern Grampians,1.5833333333333333,-0.32222222222222224,-0.13592233009708737,-0.8571428571428571,-1.6891891891891893,1.7735849056603774,0.896551724137931,-0.0,36.0
4 Western, Hepburn,0.2653061224489796,-0.15736040609137056,-0.18518518518518517,0.6,0.7591623036649214,-0.6634615384615384,-0.31693989071038253,0.7577639751552795,-0.875
4 Western, Loddon,-0.11764705882352941,6.2727272727272725,5.4,4.222222222222222,2.5555555555555554,1.7058823529411764,15.833333333333334,1.5454545454545454,-0.7241379310344828
4 Western, Macedon Ranges,0.1668496158068057,0.08739076154806492,0.09817351598173515,0.04767184035476718,0.11562782294489611,-0.04883227176220807,0.06217616580310881,0.099644128113879,0.23481781376518218
4 Western, Greater Geelong,0.28808446455505277,0.02473246135552913,0.34602233872806015,0.07333076032419915,0.4811449341208542,-0.24391030811421197,-0.16966620519920012,0.07169473841108959,0.018724696356275303
4 Western, Greater Bendigo,0.3136125654450262,0.19736842105263158,0.06506506506506507,0.08499743983614952,0.6714709622721492,-0.4018640350877193,0.27384615384615385,0.3439024390243902,-0.16834303864478561
4 Western, Golden Plains,0.1238390092879257,0.03430079155672823,0.12104283054003724,0.1554192229038855,0.16401273885350318,-0.266304347826087,0.01818181818181818,-0.039735099337748346,-0.07020872865275142
4 Western, Glenelg,6.173913043478261,-3.25,-5.142857142857143,5.242424242424242,3.972972972972973,1.955223880597015,7.607142857142857,7.285714285714286,-0.06
4 Western, Mildura,0.17917304747320062,-0.0881057268722467,0.2134251290877797,0.050119331742243436,0.8187250996015937,-0.5929752066115702,1.9866310160427807,0.022813688212927757,-5.6075949367088604
4 Western, Gannawarra,-0.4666666666666667,-0.35714285714285715,1.75,14.5,1.1290322580645162,-23.5,-3.260869565217391,-1.4415584415584415,-0.7971014492753623
4 Western, Corangamite,-0.375,1.45,-0.2571428571428571,-0.5,-7.290322580645161,0.7272727272727273,2.3943661971830985,0.12295081967213115,-1.4431818181818181
4 Western, Moorabool,0.3722943722943723,0.14326647564469913,-0.07164634146341463,0.2155425219941349,0.43614718614718617,-0.34805194805194806,0.037815126050420166,-0.18659217877094972,0.4708939708939709
4 Western, Colac-Otway,0.9029126213592233,-1.218045112781955,0.8229166666666666,0.9393939393939394,1.9090909090909092,-0.9411764705882353,-1.5555555555555556,0.3,0.77
4 Western, Mount Alexander,-0.5082872928176796,-0.05154639175257732,0.18503937007874016,0.16723549488054607,0.7623762376237624,-0.92,-0.35023041474654376,0.9282700421940928,-0.592
4 Western, Moyne,0.7007299270072993,-0.8031496062992126,0.43209876543209874,-0.7974683544303798,0.5753424657534246,-0.4642857142857143,-0.39361702127659576,1.2,0.38666666666666666
4 Western, Horsham,2.176470588235294,-0.8023255813953488,4.2592592592592595,9.0,-1.0108695652173914,-305.0,-0.0,-5.543478260869565,1.6734693877551021
4 Western, Pyrenees,0.38613861386138615,0.8717948717948718,0.27522935779816515,0.06818181818181818,0.26277372262773724,-0.8095238095238095,3.4,0.6068376068376068,-0.47058823529411764
4 Western, Yarriambiack,0.125,0.9365079365079365,0.24074074074074073,-1.2857142857142858,-0.18072289156626506,-0.423728813559322,0.7692307692307693,1.7619047619047619,-1.3673469387755102
