Police_Region,LGA_crime,2012,2013,2014,2015,2016,2017,2018,2019,2020
2 Eastern, Towong,1.5909090909090908,0.8095238095238095,-3.0952380952380953,0.8260869565217391,0.21951219512195122,0.2857142857142857,0.26666666666666666,1.9333333333333333,0.14285714285714285
2 Eastern, Indigo,0.0948905109489051,-0.18543046357615894,-0.2047244094488189,0.26842105263157895,-0.25102880658436216,0.34523809523809523,-0.22435897435897437,0.4380952380952381,0.06451612903225806
2 Eastern, Knox,1.1254801536491676,0.07545164718384698,0.21803127874885003,0.15402843601895735,1.0967937084089534,-0.4993215739484396,-0.25776173285198556,0.5346756152125279,-0.06060606060606061
2 Eastern, Latrobe,3.1064814814814814,1.35,19.7,9.121212121212121,4.019662921348314,-4.083916083916084,2.079734219269103,0.5697674418604651,-1.2651933701657458
2 Eastern, Yarra Ranges,0.45067497403946,-0.15703275529865124,0.28142589118198874,0.06254392129304287,0.5509536784741145,-0.44613511868533173,-0.13748079877112135,0.47735993860322334,0.4303534303534304
2 Eastern, Mansfield,0.03225806451612903,0.21787709497206703,0.7983193277310925,-0.362962962962963,0.9861111111111112,0.10655737704918032,-0.8797814207650273,-0.09183673469387756,0.19063545150501673
2 Eastern, Maroondah,0.39603960396039606,0.20638455827765403,0.22865853658536586,-0.049937578027465665,0.5492402926280248,-0.3076923076923077,-0.3268581081081081,0.07800751879699248,-0.26322115384615385
2 Eastern, Mitchell,0.11336982017200939,0.021367521367521368,0.11882716049382716,0.4330508474576271,0.3736120182887002,-0.15252707581227437,-0.04372759856630824,0.07993292342090554,0.05512820512820513
2 Eastern, Moira,-0.43866171003717475,0.5173913043478261,-0.48205128205128206,0.11170212765957446,1.3383838383838385,0.4879518072289157,0.8,3.032520325203252,-3.4183673469387754
2 Eastern, Monash,0.017189079878665317,0.10159700985389059,0.02072538860103627,0.21164021164021163,0.41640104317589105,-0.1831510356062369,0.01702127659574468,0.3133383010432191,0.4137254901960784
2 Eastern, Wodonga,0.30013642564802184,-0.4504283965728274,0.24685138539042822,0.21779859484777517,-0.1379703534777651,-0.10252808988764045,-0.06158833063209076,0.6238532110091743,-0.3540587219343696
2 Eastern, Whitehorse,0.1747527084314649,0.09008264462809917,-0.04510942384993301,0.03433658329800763,0.19345037137069548,0.043898398674765325,-0.08704318936877077,0.4074221867517957,-0.025051124744376277
2 Eastern, Murrindindi,0.2396694214876033,0.7289719626168224,-0.14516129032258066,-0.049689440993788817,0.18627450980392157,-0.005494505494505495,0.10245901639344263,0.36666666666666664,0.5698924731182796
2 Eastern, Wellington,1.46684350132626,-0.2318840579710145,0.44933920704845814,0.29017857142857145,0.9860335195530726,-2.199261992619926,0.4722222222222222,1.2465373961218837,0.13010204081632654
2 Eastern, South Gippsland,0.18840579710144928,-0.11527377521613832,0.024193548387096774,0.023076923076923078,0.6803519061583577,-0.678391959798995,0.07480314960629922,0.8686567164179104,-0.15976331360946747
2 Eastern, Strathbogie,0.2191780821917808,-0.04878048780487805,-0.2185430463576159,0.12101910828025478,0.6593406593406593,-0.3228346456692913,0.0125,0.05223880597014925,0.16822429906542055
2 Eastern, Wangaratta,0.2079646017699115,-0.27358490566037735,0.04716981132075472,-0.21352313167259787,0.4053452115812918,-0.11877394636015326,-0.17167381974248927,0.24489795918367346,-8.615384615384615
2 Eastern, Alpine,0.34782608695652173,0.45,-1.1805555555555556,1.0675675675675675,-0.6040268456375839,0.7166666666666667,0.9021739130434783,0.4024390243902439,-0.08074534161490683
2 Eastern, Manningham,0.17391304347826086,0.2050163576881134,0.016666666666666666,0.1661721068249258,0.3400560224089636,-0.15411764705882353,-0.2782608695652174,0.2326829268292683,-0.2864583333333333
2 Eastern, Boroondara,0.4595355383532723,0.023476523476523476,-0.12827586206896552,0.10081223124701386,0.46135552913198574,-0.5497709287796751,-0.08122424955856386,0.3152114222954421,-0.43103448275862066
2 Eastern, East Gippsland,0.33399602385685884,0.8416666666666667,-0.32051282051282054,0.3824027072758037,-0.06967213114754098,-0.2294776119402985,0.2911764705882353,0.9634146341463414,0.09832134292565947
2 Eastern, Greater Shepparton,-0.2176039119804401,0.4281524926686217,0.76,-0.22982456140350876,1.4253859348198972,-0.8070539419087137,0.5638766519823789,0.3103448275862069,-0.5500878734622144
2 Eastern, Bass Coast,0.4273356401384083,0.23461538461538461,0.04436860068259386,-0.10166919575113809,0.15878378378378377,-0.14533622559652928,-0.2925531914893617,0.1769464105156724,0.1920353982300885
2 Eastern, Baw Baw,0.35899731423455683,0.07314897413024085,0.061946902654867256,0.1777032690695725,0.295407813570939,-0.11231884057971014,0.2986526946107784,0.3191027496382055,0.056375838926174496
2 Eastern, Benalla,-1.032258064516129,4.344827586206897,-1.75,-0.36,3.542372881355932,5.375,-2.0816326530612246,7.909090909090909,0.33980582524271846
