Police_Region,LGA_crime,CP_2012,CP_2013,CP_2014,CP_2015,CP_2016,CP_2017,CP_2018,CP_2019,CP_2020,CC_2012,CC_2013,CC_2014,CC_2015,CC_2016,CC_2017,CC_2018,CC_2019,CC_2020
3 Southern Metro, Glen Eira,1964.0,2144.0,2434.0,2230.0,2659.0,2874.0,2463.0,2615.0,1681.0,217.0,116.0,-404.0,810.0,534.0,-326.0,-374.0,723.0,579.0
3 Southern Metro, Bayside,852.0,1281.0,1545.0,1471.0,1644.0,1370.0,1463.0,1111.0,685.0,500.0,-15.0,-258.0,412.0,564.0,-376.0,-134.0,319.0,122.0
3 Southern Metro, Greater Dandenong,2949.0,3386.0,3633.0,3926.0,4161.0,3296.0,2622.0,2121.0,101.0,780.0,704.0,-426.0,1455.0,1955.0,-1801.0,409.0,617.0,310.0
3 Southern Metro, Casey,7958.0,8783.0,9914.0,11591.0,13261.0,13982.0,13672.0,13519.0,10638.0,855.0,257.0,870.0,2231.0,3044.0,-3135.0,829.0,751.0,650.0
3 Southern Metro, Cardinia,4591.0,4169.0,3479.0,4228.0,5275.0,4830.0,4714.0,5062.0,4014.0,473.0,525.0,-482.0,817.0,704.0,-1033.0,221.0,686.0,587.0
3 Southern Metro, Kingston,2131.0,1901.0,1874.0,2034.0,2697.0,2110.0,2401.0,2352.0,1489.0,772.0,-152.0,-157.0,893.0,591.0,-960.0,836.0,389.0,-281.0
3 Southern Metro, Mornington Peninsula,2429.0,2301.0,2499.0,2331.0,2697.0,2306.0,1989.0,1796.0,1243.0,368.0,163.0,163.0,453.0,982.0,-653.0,-327.0,522.0,-524.0
4 Western, Campaspe,186.0,172.0,125.0,91.0,166.0,2.0,-7.0,25.0,60.0,338.0,-133.0,230.0,2.0,483.0,-310.0,336.0,77.0,-418.0
4 Western, Southern Grampians,-110.0,-106.0,-100.0,-93.0,-39.0,0.0,11.0,-36.0,36.0,-59.0,83.0,-177.0,93.0,188.0,-3.0,127.0,-166.0,-112.0
4 Western, Hindmarsh,1.0,-5.0,-8.0,-36.0,-24.0,-66.0,-74.0,-58.0,6.0,27.0,-15.0,-37.0,15.0,73.0,43.0,-23.0,-26.0,84.0
4 Western, Swan Hill,106.0,32.0,-63.0,-47.0,3.0,-49.0,-87.0,-110.0,-116.0,48.0,56.0,192.0,-14.0,120.0,38.0,8.0,91.0,-53.0
4 Western, Buloke,-31.0,-46.0,-53.0,-29.0,-22.0,-79.0,-22.0,-60.0,-22.0,15.0,-49.0,-7.0,-2.0,-9.0,-11.0,24.0,60.0,42.0
4 Western, Warrnambool,392.0,364.0,306.0,276.0,237.0,327.0,294.0,318.0,352.0,0.0,83.0,76.0,171.0,335.0,158.0,257.0,-303.0,-281.0
4 Western, West Wimmera,-73.0,-90.0,-86.0,-64.0,-37.0,-43.0,-32.0,-23.0,-29.0,33.0,-12.0,-22.0,4.0,5.0,18.0,2.0,2.0,2.0
4 Western, Ballarat,1543.0,1616.0,1570.0,1565.0,2021.0,1922.0,1902.0,2180.0,1857.0,0.0,-71.0,-575.0,1197.0,745.0,-517.0,-904.0,877.0,-1548.0
4 Western, Ararat,74.0,90.0,70.0,84.0,101.0,11.0,39.0,49.0,121.0,132.0,-60.0,-77.0,113.0,-43.0,45.0,-12.0,-47.0,251.0
4 Western, Surf Coast,864.0,698.0,646.0,751.0,840.0,882.0,905.0,1205.0,1314.0,176.0,-192.0,-1.0,178.0,-67.0,-97.0,-118.0,125.0,197.0
4 Western, Queenscliffe,-4.0,-55.0,-32.0,-37.0,-4.0,30.0,23.0,-43.0,69.0,19.0,-38.0,29.0,52.0,-30.0,2.0,-25.0,4.0,-5.0
4 Western, Central Goldfields,135.0,101.0,69.0,66.0,137.0,61.0,60.0,-26.0,-90.0,94.0,40.0,-6.0,41.0,167.0,-154.0,111.0,-78.0,-83.0
