LGA,CR,Pop,2011,2012,2013,2015,2016,2017,2018,2019,2020
 Casey,"11,799",269240.0,0,1,0,0,0,0,0,0,0
 Central Goldfields,771,12714.0,0,1,0,0,0,0,0,0,0
 Colac-Otway,"1,183",20902.0,0,1,0,0,0,0,0,0,0
 Corangamite,543,16470.0,0,1,0,0,0,0,0,0,0
 Darebin,"9,672",144986.0,0,1,0,0,0,0,0,0,0
 East Gippsland,"2,667",43329.0,0,1,0,0,0,0,0,0,0
 Frankston,"10,538",132194.0,0,1,0,0,0,0,0,0,0
 Gannawarra,423,10498.0,0,1,0,0,0,0,0,0,0
 Glen Eira,"4,619",139116.0,0,1,0,0,0,0,0,0,0
 Glenelg,"1,093",19825.0,0,1,0,0,0,0,0,0,0
 Golden Plains,376,19604.0,0,1,0,0,0,0,0,0,0
 Greater Bendigo,"5,648",103905.0,0,1,0,0,0,0,0,0,0
 Greater Dandenong,"11,782",145116.0,0,1,0,0,0,0,0,0,0
 Greater Geelong,"13,449",219152.0,0,1,0,0,0,0,0,0,0
 Greater Shepparton,"4,824",62562.0,0,1,0,0,0,0,0,0,0
 Hepburn,555,14825.0,0,1,0,0,0,0,0,0,0
 Hindmarsh,199,5857.0,0,1,0,0,0,0,0,0,0
 Hobsons Bay,"5,850",88339.0,0,1,0,0,0,0,0,0,0
 Horsham,"1,416",19608.0,0,1,0,0,0,0,0,0,0
 Hume,"11,988",179202.0,0,1,0,0,0,0,0,0,0
 Indigo,383,15454.0,0,1,0,0,0,0,0,0,0
 Kingston,"7,481",150435.0,0,1,0,0,0,0,0,0,0
 Knox,"6,852",155406.0,0,1,0,0,0,0,0,0,0
 Latrobe,"7,456",74004.0,0,1,0,0,0,0,0,0,0
 Loddon,333,7529.0,0,1,0,0,0,0,0,0,0
 Macedon Ranges,"1,319",43794.0,0,1,0,0,0,0,0,0,0
 Manningham,"2,924",117440.0,0,1,0,0,0,0,0,0,0
 Mansfield,254,8097.0,0,1,0,0,0,0,0,0,0
 Maribyrnong,"7,475",77179.0,0,1,0,0,0,0,0,0,0
 Maroondah,"5,219",108434.0,0,1,0,0,0,0,0,0,0
 Melbourne,"24,746",107578.0,0,1,0,0,0,0,0,0,0
 Melton,"6,926",118329.0,0,1,0,0,0,0,0,0,0
 Mildura,"4,595",52475.0,0,1,0,0,0,0,0,0,0
 Mitchell,"1,961",36384.0,0,1,0,0,0,0,0,0,0
 Moira,"1,058",28675.0,0,1,0,0,0,0,0,0,0
 Monash,"6,526",180312.0,0,1,0,0,0,0,0,0,0
 Moonee Valley,"6,962",113673.0,0,1,0,0,0,0,0,0,0
 Moorabool,"1,352",29363.0,0,1,0,0,0,0,0,0,0
 Moreland,"9,813",156967.0,0,1,0,0,0,0,0,0,0
 Mornington Peninsula,"7,355",151700.0,0,1,0,0,0,0,0,0,0
 Mount Alexander,634,18053.0,0,1,0,0,0,0,0,0,0
 Moyne,537,16304.0,0,1,0,0,0,0,0,0,0
 Murrindindi,457,13456.0,0,1,0,0,0,0,0,0,0
 Nillumbik,"1,454",62935.0,0,1,0,0,0,0,0,0,0
 Northern Grampians,654,11970.0,0,1,0,0,0,0,0,0,0
 Port Phillip,"8,837",99893.0,0,1,0,0,0,0,0,0,0
 Pyrenees,248,6860.0,0,1,0,0,0,0,0,0,0
 Queenscliffe,111,3057.0,0,1,0,0,0,0,0,0,0
 South Gippsland,935,27926.0,0,1,0,0,0,0,0,0,0
 Southern Grampians,800,16461.0,0,1,0,0,0,0,0,0,0
 Stonnington,"7,291",101410.0,0,1,0,0,0,0,0,0,0
 Strathbogie,379,9744.0,0,1,0,0,0,0,0,0,0
 Surf Coast,"1,175",27530.0,0,1,0,0,0,0,0,0,0
 Swan Hill,"1,381",20971.0,0,1,0,0,0,0,0,0,0
 Towong,196,5940.0,0,1,0,0,0,0,0,0,0
 Wangaratta,"1,737",27438.0,0,1,0,0,0,0,0,0,0
 Warrnambool,"1,827",33059.0,0,1,0,0,0,0,0,0,0
 Wellington,"2,862",42445.0,0,1,0,0,0,0,0,0,0
 West Wimmera,133,4214.0,0,1,0,0,0,0,0,0,0
 Whitehorse,"5,583",159661.0,0,1,0,0,0,0,0,0,0
 Whittlesea,"9,849",169993.0,0,1,0,0,0,0,0,0,0
 Wodonga,"2,603",36758.0,0,1,0,0,0,0,0,0,0
 Wyndham,"11,066",179131.0,0,1,0,0,0,0,0,0,0
 Yarra,"9,199",81268.0,0,1,0,0,0,0,0,0,0
 Yarra Ranges,"5,216",149864.0,0,1,0,0,0,0,0,0,0
 Yarriambiack,274,7095.0,0,1,0,0,0,0,0,0,0
 Alpine,363,12283.0,0,0,1,0,0,0,0,0,0
 Ararat,874,11490.0,0,0,1,0,0,0,0,0,0
 Ballarat,"8,108",98344.0,0,0,1,0,0,0,0,0,0
 Banyule,"6,430",124314.0,0,0,1,0,0,0,0,0,0
 Bass Coast,"1,970",31331.0,0,0,1,0,0,0,0,0,0
 Baw Baw,"2,215",45627.0,0,0,1,0,0,0,0,0,0
 Bayside,"3,489",98252.0,0,0,1,0,0,0,0,0,0
 Benalla,854,13878.0,0,0,1,0,0,0,0,0,0
 Boroondara,"5,965",170485.0,0,0,1,0,0,0,0,0,0
 Brimbank,"15,273",196169.0,0,0,1,0,0,0,0,0,0
 Buloke,187,6388.0,0,0,1,0,0,0,0,0,0
 Campaspe,"2,100",37213.0,0,0,1,0,0,0,0,0,0
 Cardinia,"4,344",84591.0,0,0,1,0,0,0,0,0,0
 Casey,"12,056",278023.0,0,0,1,0,0,0,0,0,0
 Central Goldfields,811,12815.0,0,0,1,0,0,0,0,0,0
 Colac-Otway,"1,021",21035.0,0,0,1,0,0,0,0,0,0
 Corangamite,456,16410.0,0,0,1,0,0,0,0,0,0
 Darebin,"10,018",147272.0,0,0,1,0,0,0,0,0,0
 East Gippsland,"3,071",43809.0,0,0,1,0,0,0,0,0,0
 Frankston,"10,782",134351.0,0,0,1,0,0,0,0,0,0
 Gannawarra,413,10526.0,0,0,1,0,0,0,0,0,0
 Glen Eira,"4,735",141260.0,0,0,1,0,0,0,0,0,0
 Glenelg,"1,184",19797.0,0,0,1,0,0,0,0,0,0
 Golden Plains,402,20362.0,0,0,1,0,0,0,0,0,0
 Greater Bendigo,"6,053",105957.0,0,0,1,0,0,0,0,0,0
 Greater Dandenong,"12,486",148502.0,0,0,1,0,0,0,0,0,0
 Greater Geelong,"13,553",223357.0,0,0,1,0,0,0,0,0,0
 Greater Shepparton,"5,116",63244.0,0,0,1,0,0,0,0,0,0
 Hepburn,524,15022.0,0,0,1,0,0,0,0,0,0
 Hindmarsh,184,5852.0,0,0,1,0,0,0,0,0,0
 Hobsons Bay,"5,446",89188.0,0,0,1,0,0,0,0,0,0
 Horsham,"1,347",19694.0,0,0,1,0,0,0,0,0,0
 Hume,"12,030",184873.0,0,0,1,0,0,0,0,0,0
 Indigo,355,15605.0,0,0,1,0,0,0,0,0,0
 Kingston,"7,329",152336.0,0,0,1,0,0,0,0,0,0
 Knox,"6,923",156347.0,0,0,1,0,0,0,0,0,0
 Latrobe,"7,618",74124.0,0,0,1,0,0,0,0,0,0
 Loddon,264,7518.0,0,0,1,0,0,0,0,0,0
 Macedon Ranges,"1,389",44595.0,0,0,1,0,0,0,0,0,0
 Manningham,"3,112",118357.0,0,0,1,0,0,0,0,0,0
 Mansfield,293,8276.0,0,0,1,0,0,0,0,0,0
 Maribyrnong,"6,956",79782.0,0,0,1,0,0,0,0,0,0
