Police_Region,LGA_crime,2012,2013,2014,2015,2016,2017,2018,2019,2020
1 North West Metro, Moreland,0.3375,-0.17194570135746606,0.27560911710767616,0.23123839830283743,0.21564195298372513,-0.34102564102564104,0.22596754057428214,-0.19002728851401637,-0.005421890884445951
1 North West Metro, Maribyrnong,0.24395061728395062,-0.19938532462543218,-0.14173815740395374,0.14353448275862069,0.1301528485409912,-0.2991735537190083,0.23013164310092638,-0.01401643305944901,0.2886666666666667
1 North West Metro, Melbourne,0.14854183701281004,-0.010958411928500854,-0.09704231433506044,0.12622232213105541,0.36925411968777105,-0.1330778075891146,0.03355404438081604,0.008989282009911259,-0.025409491810163796
1 North West Metro, Melton,0.15142455153007386,-0.017478152309612985,0.1306532663316583,0.15090973956475204,0.10607225211375865,-0.14128924701305917,0.0004938271604938272,0.12496957897298613,0.1365679534637758
1 North West Metro, Darebin,0.04354207436399217,0.15135608048993876,0.4278695846359982,0.20219244823386115,0.5561548223350253,-0.49158620689655175,0.055478980013783596,-0.07234539089848308,0.28377153218495016
1 North West Metro, Moonee Valley,0.6249162759544541,-0.39865996649916247,0.0861244019138756,0.20705024311183146,0.296969696969697,-0.42244094488188977,0.006412825651302605,-0.08641462401329456,-0.009027777777777777
1 North West Metro, Hobsons Bay,1.1726694915254237,-0.4758539458186101,0.09031733116354759,-0.1583134447096261,-0.010163749294184076,-0.2656826568265683,-0.0673758865248227,0.14485981308411214,-1.1839622641509433
1 North West Metro, Nillumbik,-0.0182648401826484,0.6108786610878661,-0.05791505791505792,1.4710743801652892,0.6472945891783567,-0.9436936936936937,-0.6191950464396285,0.06329113924050633,-0.19166666666666668
1 North West Metro, Brimbank,0.5201931518876207,-0.08684759916492693,-0.6733362331448456,0.45819397993311034,0.08348348348348349,-0.6597791236195226,0.7590154550658271,0.7038834951456311,-0.186222558667676
1 North West Metro, Hume,0.1986970684039088,0.007406101216716628,0.1862607338017174,0.24050449405624819,0.31370558375634516,-0.31901915334878617,0.05400108873162766,0.03672440254330191,0.04409263378254612
1 North West Metro, Whittlesea,0.11867725443272055,0.014764522039012825,0.029326532977860205,0.01553419758605275,0.26451865635099403,-0.20132127955493742,0.056781099073228036,0.0418705035971223,0.01393784043575777
1 North West Metro, Yarra,0.20338266384778012,0.001855976243504083,0.23086344151867727,0.03450834879406308,0.4180410636149445,-0.23580645161290323,0.29226583754372326,-0.08138351983723296,0.20447482908638906
1 North West Metro, Wyndham,0.11478442728442728,-0.10153429602888087,0.019113352800637112,0.09469235145899374,0.07943606457970136,-0.10772950295100618,0.030428091773922774,0.12664041994750655,0.002049341845984078
1 North West Metro, Banyule,0.3527454242928453,0.8424657534246576,0.47540983606557374,0.0509683995922528,0.459896983075791,-0.02877697841726619,-0.23524229074889869,-0.08633093525179857,-1.1
