index_crime,Police_Region,LGA_crime,2011_crime,2012_crime,2013_crime,2014_crime,2015_crime,2016_crime,2017_crime,2018_crime,2019_crime,2020_crime,index_population,LGA_population,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011_population,2012_population,2013_population,2014_population,2015_population,2016_population,2017_population,2018_population,2019_population,2020_population
45,3 Southern Metro, Frankston,"9,245","10,538","10,782","10,627","10,925","12,487","10,703","11,298","11,037","10,822",25,Frankston (C),113306,114262.0,115483.0,117124.0,118530.0,120148.0,122182.0,124689.0,127252.0,129052.0,130350.0,132194.0,134351.0,136181.0,137790.0,139502.0,140718.0,141847.0,142645.0,143338.0
60,4 Western, Gannawarra,444,423,413,427,456,491,444,519,630,685,26,Gannawarra (S),11873,11783.0,11661.0,11540.0,11455.0,11413.0,11207.0,11052.0,10923.0,10692.0,10453.0,10498.0,10526.0,10534.0,10536.0,10567.0,10569.0,10546.0,10469.0,10400.0
46,3 Southern Metro, Glen Eira,"4,402","4,619","4,735","4,331","5,141","5,675","5,349","4,975","5,698","6,277",27,Glen Eira (C),122346,123197.0,123816.0,125037.0,126485.0,128474.0,130524.0,132900.0,135414.0,136515.0,137152.0,139116.0,141260.0,143694.0,145924.0,148583.0,151457.0,153920.0,156535.0,158216.0
61,4 Western, Glenelg,"1,235","1,093","1,184","1,400","1,227","1,374","1,243","1,030","1,081","1,084",28,Glenelg (S),20083,20065.0,20039.0,20033.0,20051.0,20077.0,20035.0,20020.0,19995.0,19949.0,19848.0,19825.0,19797.0,19755.0,19722.0,19759.0,19692.0,19664.0,19671.0,19621.0
62,4 Western, Golden Plains,296,376,402,467,543,646,499,509,485,448,29,Golden Plains (S),14872,15119.0,15477.0,15931.0,16390.0,16666.0,17022.0,17456.0,17941.0,18441.0,18958.0,19604.0,20362.0,20899.0,21388.0,22016.0,22568.0,23118.0,23722.0,24249.0
63,4 Western, Greater Bendigo,"5,049","5,648","6,053","6,183","6,349","7,933","7,200","7,734","8,439","8,121",30,Greater Bendigo (C),89071,90176.0,91513.0,92535.0,93269.0,94577.0,96097.0,97417.0,99003.0,100506.0,101995.0,103905.0,105957.0,107955.0,109908.0,112267.0,114091.0,116041.0,118091.0,119980.0
47,3 Southern Metro, Greater Dandenong,"11,002","11,782","12,486","12,060","13,515","15,470","13,669","14,078","14,695","15,005",31,Greater Dandenong (C),127724,127336.0,127060.0,127293.0,128054.0,130068.0,132860.0,135884.0,138740.0,140212.0,142167.0,145116.0,148502.0,152135.0,156061.0,160222.0,163518.0,166140.0,168261.0,168362.0
64,4 Western, Greater Geelong,"12,494","13,449","13,553","15,071","15,451","18,628","17,116","16,013","16,494","16,605",32,Greater Geelong (C),191534,194713.0,196973.0,198541.0,199996.0,201495.0,203802.0,206479.0,209429.0,212585.0,215837.0,219152.0,223357.0,227744.0,232926.0,239529.0,245728.0,252229.0,258938.0,264866.0
22,2 Eastern, Greater Shepparton,"5,002","4,824","5,116","5,629","5,498","6,329","5,940","6,196","6,349","6,036",33,Greater Shepparton (C),57610,57996.0,58379.0,58338.0,58419.0,58688.0,59208.0,59854.0,60758.0,61443.0,61744.0,62562.0,63244.0,63919.0,64489.0,65072.0,65554.0,66008.0,66501.0,67070.0
65,4 Western, Hepburn,503,555,524,494,584,729,660,602,724,563,34,Hepburn (S),14268,14192.0,14114.0,14097.0,13973.0,13926.0,14014.0,14187.0,14416.0,14561.0,14629.0,14825.0,15022.0,15184.0,15334.0,15525.0,15629.0,15812.0,15973.0,16157.0
