,,Year ending December,Year ending December,Year ending December,Year ending December,Year ending December,Year ending December,Year ending December,Year ending December,Year ending December,Year ending December
4 Western, Glenelg,"1,235","1,093","1,184","1,400","1,227","1,374","1,243","1,030","1,081","1,084"
4 Western, Golden Plains,296,376,402,467,543,646,499,509,485,448
4 Western, Greater Bendigo,"5,049","5,648","6,053","6,183","6,349","7,933","7,200","7,734","8,439","8,121"
4 Western, Greater Geelong,"12,494","13,449","13,553","15,071","15,451","18,628","17,116","16,013","16,494","16,605"
4 Western, Hepburn,503,555,524,494,584,729,660,602,724,563
4 Western, Hindmarsh,172,199,184,147,162,235,278,255,229,313
4 Western, Horsham,"1,231","1,416","1,347","1,577","1,973","1,880","1,575","1,575","1,320","1,484"
4 Western, Loddon,331,333,264,237,313,382,295,390,373,394
4 Western, Macedon Ranges,"1,167","1,319","1,389","1,475","1,518","1,646","1,600","1,660","1,744","1,918"
4 Western, Mildura,"4,478","4,595","4,535","4,659","4,680","5,091","4,804","5,547","5,553","4,667"
4 Western, Moorabool,"1,094","1,352","1,502","1,455","1,602","2,005","1,737","1,764","1,597","2,050"
4 Western, Mount Alexander,726,634,624,671,720,951,767,691,911,763
4 Western, Moyne,441,537,435,470,407,491,465,428,506,535
4 Western, Northern Grampians,787,654,683,697,811,936,842,764,764,836
4 Western, Pyrenees,209,248,316,346,355,391,357,340,411,371
4 Western, Queenscliffe,92,111,73,102,154,124,126,101,105,100
4 Western, Southern Grampians,859,800,883,706,799,987,984,"1,111",945,833
4 Western, Surf Coast,999,"1,175",983,982,"1,160","1,093",996,878,"1,003","1,200"
4 Western, Swan Hill,"1,333","1,381","1,437","1,629","1,615","1,735","1,773","1,781","1,872","1,819"
4 Western, Warrnambool,"1,827","1,827","1,910","1,986","2,157","2,492","2,650","2,907","2,604","2,323"
4 Western, West Wimmera,100,133,121,99,103,108,126,128,130,132
4 Western, Yarriambiack,285,274,215,189,315,330,355,335,298,365
4 Western,Total,"49,538","52,611","52,587","54,688","58,150","67,195","62,374","61,817","63,865","61,704"
Justice Institutions and Immigration Facilities,Total,720,832,"1,041",719,777,"1,016","1,476","1,497","1,357","1,329"
Unincorporated Vic,Total,124,110,66,100,93,121,119,95,108,37
