Police_Region,LGA_crime,2012,2013,2014,2015,2016,2017,2018,2019,2020
3 Southern Metro, Frankston,0.7011930585683297,0.11312007417709782,-0.08469945355191257,0.18520820385332504,0.9123831775700935,-1.4671052631578947,0.5270150575730735,-0.32706766917293234,-0.31024531024531027
3 Southern Metro, Port Phillip,0.22277416889568208,-0.02562969509500663,0.13115468409586056,0.3766839378238342,0.3027604630454141,-0.3932971907343519,0.10310463779225756,-0.06454352441613588,0.5992990654205608
3 Southern Metro, Stonnington,0.18967540086038326,0.0731824747231584,-0.11840465309513917,0.28959700093720714,0.47092436974789914,-0.46298302636330807,0.17656436827421285,0.4789297658862876,0.027446300715990454
3 Southern Metro, Glen Eira,0.1104887983706721,0.054104477611940295,-0.16598192276088744,0.3632286995515695,0.20082737871380218,-0.11343075852470424,-0.1518473406414941,0.27648183556405354,0.34443783462224864
3 Southern Metro, Bayside,0.5868544600938967,-0.0117096018735363,-0.1669902912621359,0.28008157715839566,0.34306569343065696,-0.27445255474452557,-0.09159261790840738,0.2871287128712871,0.1781021897810219
3 Southern Metro, Greater Dandenong,0.2644964394710071,0.20791494388659185,-0.11725846407927333,0.3706062149770759,0.46983898101417926,-0.5464199029126213,0.15598779557589626,0.2909005186232909,3.0693069306930694
3 Southern Metro, Casey,0.10743905503895451,0.029261072526471595,0.08775469033689731,0.19247692174963332,0.22954528316114922,-0.22421685023601773,0.06063487419543593,0.05555144611287817,0.061101710847903744
3 Southern Metro, Cardinia,0.10302766281855805,0.12592947949148478,-0.1385455590686979,0.19323557237464523,0.13345971563981043,-0.21387163561076605,0.046881629189647854,0.13551955748715921,0.14623816641753862
3 Southern Metro, Kingston,0.36227123416236506,-0.07995791688584955,-0.08377801494130203,0.4390363815142576,0.21913236929922136,-0.4549763033175355,0.34818825489379424,0.16539115646258504,-0.18871725990597715
3 Southern Metro, Mornington Peninsula,0.15150267599835324,0.07083876575402,0.06522609043617447,0.19433719433719435,0.36410826844642197,-0.2831743278404163,-0.16440422322775264,0.2906458797327394,-0.42156074014481093
